"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043062","GO:0043062","extracellular structure organization","45/1152","322/18870",1.71157108772564e-07,8.47383285795805e-05,6.66775684031684e-05,"TNFRSF1B/TGFB2/COLGALT2/OLFML2B/ELF3/DDR2/MATN3/COL5A2/FAP/COL8A1/ADAMTS9/CCDC80/ABI3BP/PRDM5/ADAMTS12/COL12A1/FSCN1/AEBP1/CAV1/GPM6B/LOXL2/MMP16/TMEM38B/ADAMTSL1/NOTCH1/ECM2/MPZL3/ADAM8/COL4A2/COL4A1/FLRT2/ANXA2/FOXC2/ZNF469/CRISPLD2/SOX9/BMP2/COL9A3/ADAMTS10/COL5A3/HPN/KLK5/KLK7/LARGE1/CHADL",45
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","59/1152","489/18870",4.2255005056978e-07,0.000189636501138765,0.000149218198994127,"LRP8/SLC6A9/NGF/RGS4/NTRK1/WNT7A/SLC7A11/GUCY1B1/PLK2/EDN1/AKAP12/HTR1B/CNR1/PRKN/ADCY1/ACHE/GRID2IP/PTN/PRKAR1B/DGKI/NLGN4X/SYN1/CA2/NEFL/PLAT/RIMS2/APBA1/PHF24/SYT7/BDNF/SYT12/GRIA4/DKK1/CPEB3/SRGN/SORCS3/NEURL1/LRRK2/CYP46A1/RASGRF1/MCTP2/SHISA9/NGFR/ARHGAP44/NOG/HAP1/CDH2/KCNB1/PLCB1/DLGAP4/GRIN3B/CACNG8/UNC13A/NTF4/NLGN4Y/LARGE1/MAPK8IP2/SHANK3/PDE9A",59
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","59/1152","490/18870",4.52676187073807e-07,0.000189636501138765,0.000149218198994127,"LRP8/SLC6A9/NGF/RGS4/NTRK1/WNT7A/SLC7A11/GUCY1B1/PLK2/EDN1/AKAP12/HTR1B/CNR1/PRKN/ADCY1/ACHE/GRID2IP/PTN/PRKAR1B/DGKI/NLGN4X/SYN1/CA2/NEFL/PLAT/RIMS2/APBA1/PHF24/SYT7/BDNF/SYT12/GRIA4/DKK1/CPEB3/SRGN/SORCS3/NEURL1/LRRK2/CYP46A1/RASGRF1/MCTP2/SHISA9/NGFR/ARHGAP44/NOG/HAP1/CDH2/KCNB1/PLCB1/DLGAP4/GRIN3B/CACNG8/UNC13A/NTF4/NLGN4Y/LARGE1/MAPK8IP2/SHANK3/PDE9A",59
"GO:0001667","GO:0001667","ameboidal-type cell migration","59/1152","497/18870",7.27433150507705e-07,0.000282971495547497,0.000222660177121569,"TGFB2/SEMA4A/PIK3R3/DDR2/S100A12/FN1/FAP/WNT7A/HYAL1/ADAMTS9/SEMA3B/ROBO1/GATA2/VEGFC/FGFBP1/KDR/S100P/PITX2/PLK2/ANXA6/HBEGF/EDN1/GJA1/AKAP12/SEMA3A/PTN/PRKX/TIMP1/SRPX2/TMSB4X/STC1/LOXL2/PTP4A3/ANGPT1/KLF4/NOTCH1/PRR5L/NRP1/ARID5B/PDLIM1/ARHGDIB/STARD13/BMP4/THBS1/DLL4/SEMA7A/FOXC2/CORO1A/MAP2K3/SOX9/CYGB/KRT16/CDH2/CCBE1/BMP7/CEACAM1/FUT1/PDGFB/HMOX1",59
"GO:0006066","GO:0006066","alcohol metabolic process","48/1152","373/18870",8.06564539503012e-07,0.000292836698808894,0.00023042275370644,"WNT4/DHRS3/PCSK9/FMO5/APOB/ACADL/PLEK/SULT1B1/ADH1B/LRAT/SULT1E1/MSMO1/INPP4B/HMGCS1/MOXD1/INSIG1/ADCYAP1R1/NPC1L1/NSDHL/G6PD/FDFT1/EPHX2/SQLE/ALDH1A1/ABCA1/CEL/DHCR7/ALDH3B2/DGAT2/AKR1C3/IDI1/SDR9C7/MVK/CYP46A1/CYP1A1/SCNN1B/GDPD3/HSD11B2/APOBR/MVD/BMP2/SPTLC3/ACSS2/PLCB1/LDLR/CEBPA/ABCG1/LSS",48
"GO:0030216","GO:0030216","keratinocyte differentiation","29/1152","177/18870",1.05961240522211e-06,0.000352056831760818,0.000277020964125924,"KAZN/LCE1F/LCE1C/LCE3D/IVL/SPRR3/SPRR1B/KDF1/SPRR1A/S100A7/ABCA12/IL1A/ZBED2/CSTA/EREG/GRHL2/NOTCH1/AQP3/ST14/AKR1C3/KRT4/KRT78/KRT80/KRT6B/SCEL/TGM1/KRT16/MAFB/KLK5",29
"GO:0046688","GO:0046688","response to copper ion","12/1152","37/18870",1.12603152869598e-06,0.000352056831760818,0.000277020964125924,"IL1A/TFRC/LOXL2/MUC2/CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1X/MT1G/ATP5F1D",12
"GO:0042060","GO:0042060","wound healing","52/1152","423/18870",1.16361053464832e-06,0.000352056831760818,0.000277020964125924,"VAV3/F3/TGFB2/S100A10/WNT4/SPRR3/GRHL3/DDR2/PRSS56/FN1/FAP/IL1A/MERTK/PLEK/WNT7A/GATA2/SLC7A11/KDR/EREG/FGB/FGA/FGG/ANXA6/HBEGF/EDN1/TFPI2/SERPINE1/CD36/ACTB/CAV1/CLDN4/DGKI/TIMP1/PLAT/SYK/TLR4/SYT7/MCAM/PAPSS2/ALOX5/PRKCQ/SERPINA1/THBS1/ANXA2/FOXC2/C1QTNF1/NOG/SERPINB2/AXL/CEACAM1/PDGFB/HMOX1",52
"GO:0045785","GO:0045785","positive regulation of cell adhesion","57/1152","482/18870",1.26694492089266e-06,0.000356563025620825,0.000280566727352258,"VAV3/TNFSF4/TGFB2/S100A10/WNT4/TNFRSF18/IL1RL2/FN1/IL1A/HYAL1/COL8A1/CHST2/CCDC80/TFRC/ABI3BP/IL15/KDR/FGB/FGA/FGG/IL7R/ADAM19/CD74/HAVCR2/CITED2/GCNT2/AGR2/CD36/ACTB/CAV1/ANGPT1/SYK/ECM2/CD274/PDCD1LG2/THY1/RAG1/NRP1/ADAM8/ALOX5/PRKCQ/TNFSF13B/FOXC2/ADGRG1/CORO1A/NOD2/UNC13D/TGM2/BMP7/SOX12/FUT1/EBI3/FUT3/PDGFB/TNFRSF13C/LGALS1/ITGB2",57
"GO:0007409","GO:0007409","axonogenesis","54/1152","448/18870",1.34162825758852e-06,0.000356563025620825,0.000280566727352258,"EPHA10/PLXNA2/NGF/CRABP2/NFASC/SEMA4A/TRIM46/DRAXIN/NTRK1/GDF7/FN1/WNT7A/EPHB3/SEMA3B/KALRN/ROBO1/BMPR1B/SLIT3/EDN1/ADCY1/SEMA3A/CRPPA/ACTB/NRCAM/AUTS2/ANOS1/XK/FGF13/UNC5D/NEFL/NOTCH1/HMCN2/LHX3/BDNF/THY1/ROBO4/NRP1/PRKCQ/MYPN/UNC5B/PTPRO/POU4F1/SLITRK6/FLRT2/HSP90AA1/NEO1/SEMA7A/TUBB3/NGFR/RND2/NOG/WNT3/CDH2/BMP7",54
"GO:0050818","GO:0050818","regulation of coagulation","17/1152","73/18870",1.37492169262529e-06,0.000356563025620825,0.000280566727352258,"F3/FAP/FGB/FGA/FGG/EDN1/HS3ST5/SERPINE1/CD36/CAV1/PLAT/THBS1/ANXA2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",17
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","40/1152","295/18870",1.78381195646442e-06,0.000433330174488905,0.000340972058747962,"VAV3/RHOU/TGFB2/ARHGEF10L/NGF/RAP1GAP/NTRK1/ARHGEF4/PSD4/GPR17/ARHGEF3/KALRN/ROBO1/ARFGEF3/AUTS2/ADCYAP1R1/RASA4/RASA4B/DLC1/GPR20/FGD3/RALGPS1/ABCA1/NOTCH1/LPAR1/ARHGAP32/ARHGAP20/NRP1/ARHGAP22/PLEKHG6/ARHGDIB/RHOF/SPRY2/LPAR6/STARD13/RASGRF1/ADGRG1/ARHGAP44/TGM2/RASIP1",40
"GO:0050819","GO:0050819","negative regulation of coagulation","14/1152","52/18870",1.83007602152861e-06,0.000433330174488905,0.000340972058747962,"FAP/FGB/FGA/FGG/EDN1/HS3ST5/SERPINE1/PLAT/THBS1/ANXA2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",14
"GO:0051960","GO:0051960","regulation of nervous system development","55/1152","466/18870",2.06296839147601e-06,0.000468121910832432,0.00036834843516223,"TNFRSF1B/LRP8/PLXNA2/NGF/CRABP2/S100A10/SEMA4A/TRIM46/DRAXIN/HES2/NTRK1/FN1/PER2/WNT7A/EPHB3/SEMA3B/ROBO1/GATA2/VEGFC/TLR2/VCAN/TREM2/SEMA3A/PTN/SRPX2/FGF13/NEFL/NOTCH1/BDNF/VSTM5/SORL1/THY1/NRP1/DKK1/NEURL1/AMIGO2/DCT/POU4F1/SLITRK6/FLRT2/ANXA2/DLL4/SEMA7A/HES7/RNF112/RND2/NOG/WNT3/HAP1/BMP2/TGM2/BMP7/LDLR/SHANK3/JAM2",55
"GO:0031639","GO:0031639","plasminogen activation","10/1152","27/18870",2.24146616269485e-06,0.000488280988881446,0.000384210894666557,"S100A10/ENO1/FGB/FGA/FGG/SERPINE1/PLAT/THBS1/ANXA2/HPN",10
"GO:0030193","GO:0030193","regulation of blood coagulation","16/1152","68/18870",2.41721040898737e-06,0.000506312611051738,0.00039839933501974,"F3/FAP/FGB/FGA/FGG/EDN1/SERPINE1/CD36/CAV1/PLAT/THBS1/ANXA2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",16
"GO:1902074","GO:1902074","response to salt","46/1152","366/18870",2.6175339867964e-06,0.000527966299707155,0.000415437850302072,"CHRM3/TNNT2/RGS4/NTRK1/IL1A/TRPC3/FGB/FGA/FGG/ADGRV1/EGR1/EDN1/HTR1B/CNR1/LRP11/NT5E/ADCY1/CD36/CAV1/ACHE/RASA4/RASA4B/G6PD/NEFL/AQP3/SYT7/SYT12/KCNJ11/AKR1C3/TUBA1A/ALOX5AP/HSP90AA1/THBS1/HOMER2/CYP1A1/CPNE7/HRH4/TGM2/KCNB1/PLCB1/RYR1/CEBPA/PNPLA3/PDGFB/LARGE1/P2RX6",46
"GO:0031589","GO:0031589","cell-substrate adhesion","45/1152","356/18870",2.87586817293751e-06,0.000559356359636346,0.000440137568873256,"S100A10/WNT4/FN1/MERTK/COL8A1/ADAMTS9/EPHB3/CCDC80/APOD/ABI3BP/BST1/KDR/FGB/FGA/FGG/ADAMTS12/CCN2/GCNT2/AGR2/SERPINE1/CD36/PRKX/EDA/GPM6B/DLC1/ANGPT1/NOTCH1/ECM2/THY1/NRP1/PTPRO/PKP2/ITGBL1/THBS1/ITGAM/CORO1A/UNC13D/SRCIN1/ONECUT2/COL5A3/AXL/CAMSAP3/FUT1/PDGFB/ITGB2",45
"GO:0034383","GO:0034383","low-density lipoprotein particle clearance","11/1152","34/18870",3.25106979331445e-06,0.000598393531774655,0.000470854527292773,"PCSK9/APOB/TREM2/CD36/EHD1/DGAT2/ANXA2/CES3/LDLR/FGF21/HMOX1",11
"GO:0018149","GO:0018149","peptide cross-linking","10/1152","28/18870",3.29632867301499e-06,0.000598393531774655,0.000470854527292773,"IVL/SPRR1B/SPRR1A/FN1/CSTA/TGM4/TGM1/THBS1/TGM2/PI3",10
"GO:1900046","GO:1900046","regulation of hemostasis","16/1152","70/18870",3.63432741996959e-06,0.000638469262230786,0.000502388690210397,"F3/FAP/FGB/FGA/FGG/EDN1/SERPINE1/CD36/CAV1/PLAT/THBS1/ANXA2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",16
"GO:0008203","GO:0008203","cholesterol metabolic process","24/1152","140/18870",3.93025144118943e-06,0.000654657591233847,0.000515126708914894,"PCSK9/FMO5/APOB/ACADL/MSMO1/HMGCS1/INSIG1/NPC1L1/NSDHL/G6PD/FDFT1/EPHX2/SQLE/ABCA1/DHCR7/IDI1/MVK/CYP46A1/APOBR/MVD/LDLR/CEBPA/ABCG1/LSS",24
"GO:0030195","GO:0030195","negative regulation of blood coagulation","13/1152","48/18870",3.96689322635272e-06,0.000654657591233847,0.000515126708914894,"FAP/FGB/FGA/FGG/EDN1/SERPINE1/PLAT/THBS1/ANXA2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",13
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","56/1152","491/18870",4.78565387778475e-06,0.000766549147600463,0.000603170183791384,"BCAR3/VAV3/RHOU/TGFB2/ARHGEF10L/NGF/RAP1GAP/NTRK1/RAPGEF4/ARHGEF4/PSD4/GPR17/ARHGEF3/KALRN/ROBO1/PLK2/ARFGEF3/RAPGEF5/DOCK4/AUTS2/ADCYAP1R1/RASA4/RASA4B/RAB39B/RAB9B/DLC1/GPR20/FGD3/RALGPS1/ABCA1/NOTCH1/LPAR1/RAB38/RAB30/ARHGAP32/ARHGAP20/NRP1/KNDC1/ARHGAP22/RAPGEF3/PLEKHG6/ARHGDIB/RHOF/SPRY2/LPAR6/STARD13/RASGRF1/ADGRG1/RRAD/NGFR/ARHGAP44/RND2/TGM2/RGL3/RASIP1/CELSR1",56
"GO:1900047","GO:1900047","negative regulation of hemostasis","13/1152","49/18870",5.09968215636373e-06,0.000793510543530196,0.000624385144618248,"FAP/FGB/FGA/FGG/EDN1/SERPINE1/PLAT/THBS1/ANXA2/C1QTNF1/SERPINB2/CEACAM1/PDGFB",13
"GO:0003151","GO:0003151","outflow tract morphogenesis","17/1152","81/18870",6.28655868802631e-06,0.000951016628194202,0.000748321064881728,"TGFB2/DHRS3/ROBO1/NPY2R/PITX2/NKX2-5/EDN1/CITED2/EYA1/NOTCH1/NRP1/BMP4/FOXC2/FZD2/NOG/BMP7/RYR1",17
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","22/1152","126/18870",7.23135389015373e-06,0.00106437711583182,0.000837520389383097,"WNT4/GRHL3/VANGL2/WNT10A/WNT7A/ROBO1/EDN1/CITED2/MAGED1/JHY/DKK1/STOX1/BMP4/SP6/NGFR/FZD2/SOX9/NOG/APCDD1/BMP2/BMP7/CELSR1",22
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","42/1152","336/18870",8.07807111414732e-06,0.00114337593670582,0.000899681743883373,"ATF3/S100A7/NTRK1/FN1/MARCO/GPBAR1/IL1A/ZFP36L2/KDR/FGB/FGA/FGG/FGFR3/PTGER4/CD74/HAVCR2/EDN1/TREM2/AKAP12/CCN2/GCNT2/CD36/RPS6KA6/ANGPT1/DUSP4/SYK/NOTCH1/TLR4/NRP1/DUSP5/TRPV4/SPRY2/BMP4/SEMA7A/NOD2/SOX9/GAREM1/BMP2/FGF21/CEACAM1/PDGFB/TIMP3",42
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","34/1152","248/18870",8.18796576047138e-06,0.00114337593670582,0.000899681743883373,"ADGRL4/CHRM3/PDE4B/RAPGEF4/MARCO/VIPR1/NPY2R/MTNR1A/PTGER4/EDN1/AKAP12/HTR1B/CNR1/ADGRF4/ADCY1/GPR37/ADCYAP1R1/ADGRG2/RIMS2/GABBR2/ABCA1/LPAR1/S1PR3/CALCB/PDE2A/PTHLH/PTGER2/ADGRG1/GNAO1/GLP2R/HRH4/MC5R/PTGIR/GNAZ",34
"GO:0030501","GO:0030501","positive regulation of bone mineralization","12/1152","44/18870",8.61086027244866e-06,0.00117236862609389,0.000922495057082592,"WNT4/OSR1/SLC8A1/BMPR1B/ADGRV1/FBN2/PTN/GPM6B/ALOX5/BMP4/BMP2/BMP7",12
"GO:0031424","GO:0031424","keratinization","17/1152","83/18870",8.88388978599136e-06,0.00118004057986607,0.000928531843870881,"KAZN/LCE1F/LCE1C/LCE3D/IVL/SPRR3/SPRR1B/SPRR1A/ABCA12/IL1A/KRT4/KRT78/KRT80/KRT6B/TGM1/KRT16/KLK5",17
"GO:0016126","GO:0016126","sterol biosynthetic process","15/1152","67/18870",9.54586204914036e-06,0.00120359770726359,0.000947068107209555,"APOB/MSMO1/HMGCS1/INSIG1/NPC1L1/NSDHL/G6PD/FDFT1/SQLE/DHCR7/IDI1/MVK/MVD/ABCG1/LSS",15
"GO:0035988","GO:0035988","chondrocyte proliferation","9/1152","25/18870",9.56258924682067e-06,0.00120359770726359,0.000947068107209555,"DDR2/BMPR1B/FGFR3/SLC26A2/CCN2/STC1/MMP16/HMGA2/SOX9",9
"GO:0048732","GO:0048732","gland development","51/1152","443/18870",9.7242561732644e-06,0.00120359770726359,0.000947068107209555,"TBX19/TGFB2/WNT4/ELF3/RAP1GAP/PCSK9/GDF7/XDH/TGFA/WNT10A/EPHB3/ROBO1/GATA2/PITX2/NKX2-5/EDN1/CITED2/CAV1/PTN/EDA/APLN/MSN/NR0B1/NOTCH1/ASS1/LHX3/UCP2/CCND1/RAG1/NRP1/ARID5B/NEURL1/OAS2/BMP4/CYP1A1/FA2H/ATP2C2/SOX9/FASN/NOG/HOXB9/WNT3/ONECUT2/BMP2/TGM2/BMP7/MAFB/CEACAM1/HPN/CEBPG/CEBPA",51
"GO:0006935","GO:0006935","chemotaxis","53/1152","468/18870",1.04689832948156e-05,0.00124092890010262,0.000976442691365515,"VAV3/F3/TGFB2/PADI2/SEMA4A/PDE4B/ARHGEF16/S100A12/S100A8/S100A7/CSF3R/PRSS56/SEMA3B/ROBO1/VEGFC/BST1/KDR/SLIT3/CD74/HBEGF/EDN1/TREM2/GPSM3/SEMA3A/SERPINE1/DOCK4/PTN/ANOS1/TMSB4X/ANGPT1/SYK/NOTCH1/LPAR1/C5/FOSL1/NRP1/ADAM8/ALOX5/PRKCQ/GPR15LG/PTPRO/TRPV4/BMP4/FLRT2/THBS1/DAPK2/SEMA7A/CORO1A/NOD2/HOXB9/WNT3/PDGFB/ITGB2",53
"GO:0050673","GO:0050673","epithelial cell proliferation","54/1152","480/18870",1.04815882123982e-05,0.00124092890010262,0.000976442691365515,"F3/TGFB2/CRNN/KDF1/RAP1GAP/OSR1/XDH/TGFA/FAP/GPBAR1/WNT7A/HYAL1/COL8A1/ROBO1/GATA2/VEGFC/FGFBP1/KDR/EREG/NKX2-5/CAV1/IGFBP3/PTN/PRKX/MAGED1/APLN/LOXL2/EYA1/NOTCH1/OVOL1/CCND1/NRP1/ALOX5/GPR15LG/KRT4/BMP4/TGM1/THBS1/RASGRF1/DLL4/FA2H/NUPR1/NOD2/NGFR/SOX9/ERN1/NOG/PPP1R16B/CEACAM1/FUT1/HPN/KLK8/PDGFB/HMOX1",54
"GO:0006695","GO:0006695","cholesterol biosynthetic process","14/1152","60/18870",1.13431358660248e-05,0.00128697329013273,0.00101267337961813,"APOB/MSMO1/HMGCS1/INSIG1/NPC1L1/NSDHL/G6PD/FDFT1/DHCR7/IDI1/MVK/MVD/ABCG1/LSS",14
"GO:1902653","GO:1902653","secondary alcohol biosynthetic process","14/1152","60/18870",1.13431358660248e-05,0.00128697329013273,0.00101267337961813,"APOB/MSMO1/HMGCS1/INSIG1/NPC1L1/NSDHL/G6PD/FDFT1/DHCR7/IDI1/MVK/MVD/ABCG1/LSS",14
"GO:0042330","GO:0042330","taxis","53/1152","470/18870",1.18132942911259e-05,0.00130793376498387,0.00102916642968269,"VAV3/F3/TGFB2/PADI2/SEMA4A/PDE4B/ARHGEF16/S100A12/S100A8/S100A7/CSF3R/PRSS56/SEMA3B/ROBO1/VEGFC/BST1/KDR/SLIT3/CD74/HBEGF/EDN1/TREM2/GPSM3/SEMA3A/SERPINE1/DOCK4/PTN/ANOS1/TMSB4X/ANGPT1/SYK/NOTCH1/LPAR1/C5/FOSL1/NRP1/ADAM8/ALOX5/PRKCQ/GPR15LG/PTPRO/TRPV4/BMP4/FLRT2/THBS1/DAPK2/SEMA7A/CORO1A/NOD2/HOXB9/WNT3/PDGFB/ITGB2",53
"GO:0051767","GO:0051767","nitric-oxide synthase biosynthetic process","8/1152","20/18870",1.22483698153098e-05,0.00130793376498387,0.00102916642968269,"TLR2/KDR/EDN1/AKAP12/TLR4/LRRK2/NOD2/MAP2K3",8
"GO:0051769","GO:0051769","regulation of nitric-oxide synthase biosynthetic process","8/1152","20/18870",1.22483698153098e-05,0.00130793376498387,0.00102916642968269,"TLR2/KDR/EDN1/AKAP12/TLR4/LRRK2/NOD2/MAP2K3",8
"GO:0043583","GO:0043583","ear development","31/1152","221/18870",1.27518642283885e-05,0.00133551254976545,0.00105086719177671,"TGFB2/GRHL3/KCNQ4/OSR1/TMIE/GATA2/ADGRV1/EDN1/INSIG1/EYA1/ESRP1/NOTCH1/LHX3/MYO7A/HMX3/STOX1/LIN7A/SPRY2/SLITRK6/GJB2/GJB6/BMP4/ESRRB/FZD2/SOX9/NOG/ATP8B1/BMP2/MAFB/HPN/CEBPA",31
